filename,speaker,title,date,url,,
dcrau001001001,"Moody, Raymond","""Questions and Answers""",3/28/77,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001001001.mp3,,
dcrau001001002,"Moody, Raymond","""Questions and Answers""",3/28/77,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001001002.mp3,,
dcrau001001003,"Moody, Raymond","""Questions and Answers""",3/28/77,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001001003.mp3,,
dcrau001002001,"Lacy, Creighton",Basis for Mission I,7/11/78,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001002001.mp3,,
dcrau001002002,"Lacy, Creighton",Basis for Mission I,7/11/78,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001002002.mp3,,
dcrau001003001,"Lacy, Creighton",Basis for Mission II,7/12/78,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001003001.mp3,,
dcrau001003002,"Lacy, Creighton",Basis for Mission II,7/12/78,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001003002.mp3,,
dcrau001004001,"Lacy, Creighton",Basis for Mission IV,7/14/78,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001004001.mp3,,
dcrau001004002,"Lacy, Creighton",Basis for Mission IV,7/14/78,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001004002.mp3,,
dcrau001005001,"Johnson, Lawrence","""A Vision of God, Self, and Service""",7/8/79,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001005001.mp3,,
dcrau001005002,"Johnson, Lawrence","""A Vision of God, Self, and Service""",7/8/79,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001005002.mp3,,
dcrau001006001,"Young, Robert T. ","""I am the Alpha and the Omega""",9/2/79,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001006001.mp3,,
dcrau001006002,"Young, Robert T. ","""I am the Alpha and the Omega""",9/2/79,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001006002.mp3,,
dcrau001007001,"Cushman, Robert E.","""For the Relief of Man's Estate: Lovely Is Thy Dwelling Place, O Lord of Hosts"" 50th Anniversary Chapel Service",10/19/80,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001007001.mp3,,
